,Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
10,Joshua Atkins,stacy00@example.com,"excellent spent 3 nights beginning august, hotel excellenty situated good value got great rate independent website, despite spg card earned upgrade, rooms furnished bathroom featured double sinks, rate included breakfast good plenty choice good quality, beware hotel bar expensive n't unexpected plenty options nearby tired hot afternoon, definitely recommended base short break visit,  ",2024-02-20 06:13,Beth Russell,EMP810,59,451-202-9914x66250,Negative,Support,20,9,Inactive,$284,9,Vegan,Standard,Badminton,Gym,Luxury
11,Andrew Brennan,pereznicholas@example.org,"let know hate americans minute entered hotel sinking feeling, check confusing tedious 40 group think happy large party, rooms scattered complex, filthy smelled mold growing walls towels, room razor blade floating toilet bugs, rooms not morning no clean towels left, social staff downright rude belly man, ignored lewd comments girls.it clear hated americans, no offered help really 1 place eat buffet seating reservation partially buffet, food worst tasted prior departure assumption eat riu restaurants did n't tell cost 40.00 extra person, 70 style foul smelling disco extra charge, day arrived member party slipped wet floor no not drink arm went glass table requiring 30 stiches, hotel cab way fare paid pay 600, hospital treated positive tour bus drivers nice beach beautiful beaches cancun st thomas st maarten like,  ",2024-02-29 14:52,Michael Terry,EMP271,35,966.662.5114,Negative,HR,4,2,Active,$132,10,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
12,Jeremiah Henry,amyneal@example.com,"let year trip punta cana husband planning trip peoples reviews quite helpful, october went grand flamenco honeymoon, dissapointed general service terrible mean terrible, breakfast did n't server approach offer tea/coffee week, dinner slight improvement server come maybe twice meal, past worked food/drink industry appreciate good service really ca n't stand bad service, food average overall buffet lot things, highlight breakfast omelet area pick ingredients cooked right spot, nice, went mexican la carte.. big mistake n't, sat seriously 45 minutes approached server.. 15-20 minutes drinks came table, main course came maybe 45 minutes later time husband hungry feeling sick food presentation poor totally unappetizing, took bite entrees got left, terrible.in general service worst men women resort reps waiting outside buffet breakfast everyday attack try sell times shares resort.. day, annoying uncomfortable.on bavaro beach beautiful, absolutely breath taking, spent lot time beach n't problem finding lounger, beach volleyball fun food beach restaurant pretty good, rained times clear 30 minutes later, went snorkelling day amazing, time snorkelling loved, snorkel guide great really friendly helpful.our room nice right near beach, complaint room bathroom, dirty looking paint chipping, bathtub ran completely shallow cover half body, not mention water pressure terrible took 30-40 minutes run bath.i definitely return punta cana not grand flamenco, not impressed,  ",2024-09-17 04:33,Nathan Meyer,EMP463,45,+1-465-821-6967x045,Positive,HR,5,3,Inactive,$464,5,Vegetarian,Standard,Badminton,Gym,Luxury
13,Sean Hernandez,bethany74@example.net,"dream just returned glorious week grand palladium bavaro, admittedly little hesitant reading hit miss reviews site amazing week amazing time resort, mention not time travellers time dominican republic.first say frustrations just couple ignorance pace life dominican, toronto used hustle bustle big city, not dominican, time really saw truly hustling toronto style porters airport, little understanding little patience new respect dominicans remember not world moves lifestyle pace, frustrating experience desk check-in little slower expected, careful consideration check-in process took maybe 5 minutes instead 2 minutes took stride.after experience desk little wary honesty uphill there.here summary positives agree past reviews jr. suite beautiful clean great water pressure temperature great jacuzzi tub working mini-fridge re-stocked 2nd day fine, left 10.00 beginning trip service outstanding.- beaches wonderful picture perfect early want palapa busy sections resort, undiscovered treasure palapas east end bavaro resort free day, sure saw people save spots not use n't bothered it.- pool beautiful hot great service early grass, grounds immaculate, constantly upkept staff husband say groundskeeper washing walkway soap water, service no issues service staff friendly helpful supply drinks table little waiting hint table buffet waiter usually 2-3 minutes order drink buffet voila, staff not speak lot english prepared, thought charm wanted learn speak little spanish, certainly not expect visitors canada know entire language nor expect learn 10 languages communicate visitors canada, family resort kids honesty bonus wanted relax, not, hit miss stick restaurants bavaro review.la cathedral buffet bavaro excellent, lots variety excellent quality.la arriciefe lunch buffet excellent, lots variety excellent quality.sports bar not good hey went dominican try new food think north american burgers hot dogs dominican think, resort definiately not hamburgers hot dogs crowd, la cartela quixote seasoned palate, highly recommend grouper main dish outstanding, easily best meal week, restaurant went bavaro la carte.la uva dominican specialties, good spanish night not good meal good.mare nostrum italian food, good, recommendation small portions salad bar portions enormous, great time, sensitive stomach husband got sick nor did hear getting sick.my husband chef quite worried not like food, loved, rate food hot fresh lots variety flavour.ok negatives it- not people looking lot interaction vacationers resort n't lot mingling guests part- resort not people looking party night disco resort people looking relax unwind.we planning trip year definiately return resort,  ",2024-03-08 21:12,Kaitlin Swanson,EMP199,65,+1-212-540-6090x3263,Neutral,Engineering,18,5,Inactive,$355,1,Vegetarian,Suite,Golf,Massage,Luxury
14,Jennifer Lewis,brandongray@example.org,"days el conquistador lovely resort things, days days resort dine restaurants spend hours private island play casino relax pools.excellent friendly service check, allowed check early getting rooms closely located requested deluxe ocean view, room rates extremely overpriced book online paying just room rate, checkout slapped room tax resort fee likely room charges drinks meals eating/drinking resort overpriced prices, feel like staying resort compound location resort limits access fajardo area unless rental car, avis counter rent car day day trip el yunque n't miss rainforest venture luquillo beach lunch.palomino island fun food/drink options limited amenity not resorts, pack snacks water not stuck paying high prices.one thing useful amenity self-serve laundry, way n't pay 50 items laundry overall nice resort n't restrict caribbean vacation miss beautiful island,  ",2024-11-08 03:56,Krystal Williams,EMP567,70,+1-347-961-3346x32211,Negative,Finance,18,6,Inactive,$172,5,Vegetarian,Deluxe,Badminton,Massage,Luxury
15,Corey Boyd,stephanie86@example.com,"wonderful hotel hotel vintage park boutique hotel kimpton hotels group known lovely eco-friendly, stayed hotels town far nicest serveral reasons, not big fan big chain hotels stay occasions, prefer personable places remember come, joined club arrived kimpton hotel treated regular, special gifts room just ordered, orgainc fruits sparkling water chocolates daughters myself.when showed hotel sick, n't sleeping keeping family night coughing, spoke desk maybe getting room floor easily accommodated despite fact hotel pretty, moved higher floor rooms hall, elevator right room heard noise coming hall elevators rooms me.i later sister paul newman stayed hotel week arrived, n't normally rub shoulders rich famous taste eco-friendly places par, n't expensive, great agree parking garage expensive protected, free overnight parking streets 6pm 7 8 parking permit plan stay longer, personally doing morning prefered spending couple extra dollars worth extra hour sleep.wonderful morning coffee teas, saw food mornings, missed wine hour did n't chance eat restaurant eating family time tourists.i certainly stay kimpton hotels town,  ",2024-04-25 05:36,Michael Roberts,EMP451,27,(926)465-8988x770,Positive,Sales,15,5,Active,$380,2,Non-Vegetarian,Deluxe,Badminton,Massage,Frugal
16,Joshua Ortiz,wongeric@example.com,"lovely hotel just come amsterdam brilliant time.we stayed hotel 3 nights thought lovely not saw day night.i reccomend sure,  ",2024-10-29 21:05,James Martin,EMP243,35,2024897730,Positive,Finance,22,6,Inactive,$220,7,Vegetarian,Standard,Table tennis,Massage,Frugal
17,Joseph Herring,stephaniesnyder@example.com,"fabulous night florence able check early no problems checking late day got delayed, fairly average hotel rome excited saw room really modern, girl desk absolutely lovely gave heaps info, felt comfortable having nice relaxing bath room clean, breakfast morning unbelievable think hubby went nuts totally overate, absolutely loved florence hotel extra special, really close train easy walking distance sites shops restaurants,  ",2024-03-25 16:36,Michael Johnston,EMP909,20,+1-294-482-3090x08459,Positive,Engineering,7,4,Active,$327,7,Vegan,Standard,Swimming,Gym,Frugal
18,Andrea Riley,saundersdiana@example.net,"great stay stayed cambridge suites sept 29-oct 3 thought wonderful, none understood bad reviews, standard suite larger normal hotel room probably cheaper, free breakfast good comparable not better conferences, free bottled water extra plus, staff helpful pleasant, great location near subway path, restaurant pricey cheaper places close, definitely stay,  ",2024-03-27 02:44,Adam Johns,EMP168,64,669-317-3044x46423,Neutral,Sales,21,1,Inactive,$336,2,Vegan,Deluxe,Table tennis,Massage,Luxury
19,Denise Johnson,smithelizabeth@example.org,"ideal way, wife 49 more-or-less grown children 14 25 descended bahia principe punta cana second week august 2006 celebrate milestone lives, all-inclusive thing observations considered not rank novice light admitted cynicism people manage connoisseurs sort holiday, broad elements experience perfect beach postcard perfect design resort elegant practical people friendly food drinks copious appealing spotless no lineups, short resort life quite unlike regular lives familiar idle luxury amused variations facade i__Ç_é not sure stand especially airport shuttle hurries neighbourhoods hot crowded concrete sheds feet highway, thankfully taste grand luxury pure leisure lots comedy, perfection turns probably tedious.i suppose definition resort experience elaborately contrived leisure so-called la carte restaurants theatrics lurch high gear, good north americans developed healthy suspicion organization obviously coached minimum wage staff exceptionally obsequious fawning n't long trading glances ministrations required multiple waiters wine stewards busboys maitre d chef-like fellows swooping stand-alone eateries serving complex variations food available buffet, clearly la carte experience crafted appeal visitors want feel pampered regardless actual fare, despite great ceremony wine standards laughably bad desserts fashionably drizzled chocolate syrup quite recently-thawed quality favourite japanese restaurant unspoken motto gon na know difference, embraced desperately, twenty-somethings early 80 wife spent years teaching japan fact actually did know difference, example walls decorated seemingly authentic calligraphy able identify characters scroll reading, similarly tempura great sushi just nice loblaws bento cook batch rice-a-roni scratch right eyes, fried rice consistency quaker harvest crunch novelty no japanese recognize let cook daughter enjoyed, followed standard pre-grocery-trip stir fry prepared great flourish friendly cook repeatedly tapped haircut bits cleaver, let repeat aside wine none bad unenjoyable, vaguely oriental griddle mix concoctions dubious authenticity restaurants prepared earnestness pleasure eat waiters/actors bless souls delivered head office mandate admirable dedication, especially staff far home buffet atmosphere relaxed food honest hospitality dominican, buffet quite simply best array food experimented sampled recklessly no ill-effect, forever crave called, 18 year old day visit pointed small green lizard building wall look tayoda, similar reduced spread food available conveniently beach just well-thought-out amenities, line-ups, trolley space loungers shade beach arrived, fact blight beach suspect labouring heat luggage variously greased sunburned highly conspicuous topless sand nymphs europe, dieu les canadiens, n't let set camp, say ventured tended stand bit regular clientele largely european typically indulge pleasures elegant simplicity half bathing suit book word searches good, oddly absent mix guests americans gay couples, sad reason felt wise discreetly radar, unspoken foreign voice beach beseeching discretion overfed guy faux-tilley hat, weather perfect came huge surprise, wife 18 year old obsessive weather junkies routine times tracking disturbances comparing stats weeks departure, best told expect sweltering humidity daily drizzle caribbean, august, people mental, house meteorologists sagely concurred escape confinement sort disaster relief facility considered major success, turned rain fell week spectacular cloudburst visiting santo domingo safely discount rum shop 6 minute duration, day sunny comfortable 30 32 degrees steady gentle breeze sea encampment sand positively temperate infinitely better record heat wave roasted ontario july, lucked, unfortunately dominicans did n't foresight stage major events history close punta cana resort strip long bus ride santo domingo, agreed interesting lengthy day served extra purpose provided relief leisure, unlikely phenomenon certainly complain came point day 5 think notion dragging butts unrelenting perfection beach losing charm, add bobbing neck-deep swim-up bar doro monkey hand unlikely diminish charm wife danger discovering tepid bathtub beverage sunglasses later tonight afraid, maybe unlike roasted european seniors speedos maximum capacity leisure luxury day 7 rolled happily hung lobby bar wait bus drinking iced tea orange juice far sun possible.all ca n't imagine better, resort does need better introductory booklet issue room key explain all-inclusive features initial befuddled exploration fun,  ",2024-10-27 02:03,Sandra Romero,EMP594,19,(410)981-9068,Negative,HR,10,5,Inactive,$70,4,Vegan,Suite,Swimming,Massage,Frugal
20,Renee Parker,riverascott@example.net,"great location beach definitely agree reviewer, great location beach good 15 minute walk main strip restaurants, bus best bet old san juan just 75 cents come 20-30 mins, cab 13-14.we reservation wind chimes like lot people got upgraded acacia opinion nicer, got free upgrade mind gorgeous balcony suite, zero parking street nor parking lot wind lot 10 day not worth imo, definitely advice felix desk acacia recommend eateries things avoid, definitely kasalta bakery breakfast 10 min walk opposite way old city, unlike previous post skip bebo cafe bebo not beso, dominican owned worst service, food wasnt worth, going old san juan eat lupi mexican restaurant good, thought rooms really nice stepped jacuzzi right room, pool wind access hotels sandwiches chips/salsa excellent bar, waterfall el yunque rent car 25 min ride, dont know cab, not far,  ",2024-06-04 02:09,Kathleen Stewart,EMP959,56,803.717.7916,Negative,Finance,23,6,Inactive,$278,8,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
21,Justin Velasquez,brian36@example.com,"unbelievable, usually not write reviews site upset read reading trip el conquistador, went wife 2 kids age 3 5 open mind, spoken said place breathtaking got ta, read reviews did not really know think, just got night best vacation, views breathtaking, stayed oceanview room overlooking atlantic carribean, personally picky hotel rooms usually stay hilton embassy suites, room fine especially look outside balcony paradise, rooms little outdated clean extremely acceptable taste, beds comfortable worked great, resort like going paradise not stay rooms day, rooms morning breakfast night asleep, wife kids hung pool 1 day played golf, golf course outstanding manicured, shot 77 double bogey 18, pools clean blast, best time private island, spend everyday truly gilligans island, grass umbrellas horseback riding, absolutely best time, boat takes 20 minutes like 5 minutes, boats leave el island 30 minutes, want wind breeze right island boat, truly paradise did not want leave, got married jamaica place literally blows away, cont,  ",2024-01-03 13:15,Steve Chandler,EMP059,43,+1-660-447-0972,Neutral,HR,9,5,Inactive,$318,1,Vegetarian,Standard,Swimming,Gym,Luxury
22,Andrew Thomas,williamsalicia@example.net,"service snarl date november 14 2008i stayed mandarin oriental new york previously pleasant stay, time typified attitude maitre d cocktail lounge, asked seats told arrogant superior demeanor twenty-five minute wait, despite tables obviously vacant, told wait bar did, thirty minutes later maitre d having come approached told wait, tables open, finally hour later having heard maitre d left, noted tables lounge vacant, attitude staff lucky, prices economy continue attitude lucky,  ",2024-05-02 08:40,Kenneth Ross,EMP147,23,(551)486-0951x2917,Neutral,HR,6,4,Active,$198,5,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
23,Corey Ayala,warneramanda@example.com,"brilliant, just 3 nights st christpohe loved, 3rd trip paris hotel location best far, close place monge metro market shops, walk saint germaine pantheon, staff really friendly helpful, room ok size paris little dated clean good bathroom, concern rooms little hot provide fan, nice weather not hot not sure enjoyed stay 25 degrees, apart great hotel struggle better value paris,  ",2024-06-23 17:57,Dr. Sylvia Cannon DDS,EMP908,52,499.918.9675x67962,Neutral,HR,26,8,Active,$430,3,Vegan,Suite,Badminton,Gym,Luxury
24,William Lynch,christianpage@example.org,"good location average hotel not far center 20 minutes walk center minutes metro, asked wanted quiet room course said yes n't quiet looked brick wall close, color sky stick heads window look, breakfast buffet expensive 14___ saw limited no fresh fruit end spain, decided welcome curt tables dirty cups food unimaginative, said clean quiet no problems, fun outside hotel really just sleep,  ",2024-07-22 11:25,William Grimes,EMP747,65,755-468-3333x8909,Neutral,Finance,21,5,Active,$390,9,Vegetarian,Standard,Table tennis,Gym,Frugal
25,Brent Ward,ashleywhite@example.org,"bad vibrations short version air conditioning hotel builds harmonic modulating vibration ducts coming basement, room air returns coming 2 minute buildup release noise drove nuts, figured nicely moved room realize problem probably hear rooms loud did not drive nuts low level, liked open windows hotel right i-5 continuously traveled types vehicles quite loud windows open not.the normal level great marriott service pleasant not stay facility changes air,  ",2024-02-23 03:11,Paula Gordon,EMP250,47,+1-857-562-0648x22906,Positive,HR,30,7,Active,$260,4,Vegetarian,Deluxe,Table tennis,Sauna,Frugal
26,Eric Martinez,gdelgado@example.org,"excellent resort just got 5 days desert ridge, wonderful experience, booked hotelopia.com saved lot money, bargain got, service notch, rooms nice lot space big bathrooms, food pricey excellent spa quite relaxing, not pickiest people like nice new hotels high quality service, felt restaurants pricey location food quite small overall experience booking trip couple months, comfortable knowing hotel clean comfortable great place relax, dont pay 400 night, shop cheeper, enjoy sure did,  ",2024-11-29 21:36,Diana Mitchell,EMP055,47,+1-389-376-9972,Negative,Support,28,9,Active,$410,2,Vegetarian,Deluxe,Table tennis,Massage,Luxury
27,Ashley Carter,shannon46@example.org,"choose different hotel little traveler 25 yr old lady went hubby husbands opinion same.. i__Ç_é pregnant didn__Ç_é_ drink bit better o punta cana places dr worst hotel far, great thing trip direct flight travel smooth beach amazing, waves fine food buffet terrible restaurants horrible, good thing food breakfast bread fruits ate pineapples watermelon apples not good, sit table table getting food, not organized, wait forever bring coffee/tea drink yourself.entertainment wasn__Ç_é_ bad nice club/disco property, certainly not recommend hotel friend,  ",2024-08-27 00:19,Christopher Jones,EMP662,57,001-660-764-5816x43521,Positive,HR,22,9,Inactive,$187,5,Non-Vegetarian,Deluxe,Swimming,Gym,Frugal
28,Kenneth Jackson,nwilson@example.com,"wow fantastic place stayed april 12-april 19 2008about 51 hubby 63. totally beach people love just lay sun.flew punta cana miami, airport punta cana cutest little airport seen, better island airport, open clean, thatched hut roofs girls dressed costumes meet arrive picture, band playing, time got got cab hour not bad, immigration breeze wait little bit luggage tour rep headed resort.ride resort 25 minutes, moment drove awed kept beautiful place, gorgeous reception area fresh flowers place, asked travel agent request bldg 2000 3000 4000 room floor, emailed resort request left, deluxe ocean view, request granted room 2219 3rd floor, view gorgeous, room tub bathroom huge tub/shower combo nice, fresh flower petals tub sink towel animals towels, pretty, big king size bed, patio 2 chairs table, size sofa desk cabinet tv fridge, lower table, room nice size, loved, maid fabulous, took crayons/coloring books/pencils left tip day, resort simply gorgeous, grounds kept clean manicured, pool b/t bld 2000 3000 beautiful, loved david bartender pool bar, did not matter walked just saw gorgeous flowers shrubs, don__Ç_é_ know say perfect.food imo can__Ç_é_ eat issue, don__Ç_é_ eat meat chic no seafood plenty, hubby loved variety foods, liked buffets ate ala carte__Ç_é_ night did mexican really good, buffet liked el cathedral bavaro lobby best, presentation restaurants incredible night different theme laid look absolutely gorgeous, tons different things choose, wed/sat mornings serve mimosas breakfast buffets night gave tequila shots night kind liquor shots.beach oh god heaven, gorgeous gorgeous beach, play towel game, got 5:45 morning towels thatched huts gone, think people left overnight, really don__Ç_é_ issue people saving chairs irks day, just rude, towels went walk 8 stayed day, left couple snorkel trips took stuff freed chairs use, water sand beach just simply wonderful.things little want, animation team stuff going, don__Ç_é_ bug ask want participate say no leave, vendors not bug, walk books pictures, want like parasailing come talk, big selling push beach all.marketplace went couple times little marketplace outside resort, vendors not worse islands sure barter, pay asking, bought stuff little grocery, presidente lite cans 15 12 pack, no american beer, resort served presidente tap just not week, bought champagne little store 13 bottle mimosas beach.excursions parasailed fun, 85, did tropical storm snorkel trip great, think paid 168 including tax, did marinarium 160 okay not, make stay group snorkel just not like, fun try different time.overall perfect week planning 2 years, year booked st thomas week pc, spend years resort, fabulous,  ",2024-04-01 17:12,Chad Bright PhD,EMP934,31,(904)238-8690,Positive,Engineering,23,5,Active,$126,3,Vegan,Suite,Golf,Massage,Frugal
29,David Conley,hendersonrobert@example.com,"luxury convenience ca n't recommend hotel highly, location convenient potsdamerplatz near brandenburg gate reichstag tiergarten berlin philharmonic, room highest quality new looked like person stay, bar comfortable accommodating breakfast room light staffed, staff helpful courteous.i booked hotel basis previous good experiences marriott hotels not disappointed, berlin stay bothering scout hotels good.for purposes comparison paid eur159 night, breakfast eur24 felt bit high, cafe 100 yards away substitute visit.a great stay wish longer,  ",2024-01-07 22:30,Rebecca Bridges,EMP658,67,809-466-6229,Positive,HR,20,1,Inactive,$334,8,Vegetarian,Standard,Swimming,Gym,Luxury
30,Eric Mack,timothydavis@example.org,"4 stars hotel absolutely brilliant can__Ç_é_ understand tourist board gave 3 stars far better 4 stars seen.we bit sceptical location shops main road didn__Ç_é_ cause trouble, rooms huge 3 stars laid bathroom nice modern, lots public rooms lounges bar restaurant roof terrace perfect.the staff brilliant, chat general manager years, friendliness service second none.the location good 5 minute walk main sights ponte vecchio uffizzi, shops wallet end bit light overall happily stayed fortnight they__Ç_ée achieved perfect balance old school charm modern convenience,  ",2024-08-17 07:16,Justin Smith,EMP047,30,001-466-291-5700x734,Negative,Engineering,25,0,Active,$308,7,Non-Vegetarian,Suite,Golf,Sauna,Frugal
31,Robin Conway,dsims@example.net,"good bad left dec 13 came dec 20. doing research property reading reviews booked, family mother brother went relaxing holiday, like people say make, resort great not big not small, tram goes circles resort time just hop whereever, rooms big spacious, big tub large did 1/2 hour start way ahead, yes rooms little tired need repair cares clean holidays room, 1st day beers fridge pop water no matter tipped day rooms got anymore beer rest week towels/washcloths soap hit miss day got days did n't, food excellent loved idea no reservations allacart restaurants, rotated closed night n't know n't busy, no matter n't going hungry eat room service door 30 min great, guess thing really did n't like n't forever hassle time shares buffett tours, people tring book, just wanted relax got hassled pool beech going eat.communications easy know english by.went air transit flight good ahead schedule not room plane, booked speed boats air transit hotel n't, use group, air transit used old broken boats, son broke ocean seperated broken worker tring going drifted ocean water rough, boats party broke change boats times wavy ocean not easy thing, finally went barge snorkle think got like 10 min guide went ocean n't personalized did n't, did tour 3 years ago blast great time obviously company, just research.all great trip n't know hotel,  ",2024-05-13 12:06,Mrs. Heather Johnson DDS,EMP290,68,636.677.8225,Neutral,Support,6,4,Active,$360,3,Vegan,Standard,Golf,Sauna,Frugal
32,Andrea Lindsey,barbara62@example.org,"perfect location 13-year-old nephew stayed hotel globus nights week june, rooms reviewers stated small, nonetheless quite happy globus florence home days, block mercato centrale fascinating fun shopping street vendors, staff members terrific helping tickets train schedules dinner recommendations, fact restaurants suggested highlights trip, room clean comfortable stay,  ",2024-01-27 12:27,Samantha Jones,EMP505,36,001-506-490-8101x70671,Neutral,Engineering,15,6,Inactive,$474,8,Vegan,Deluxe,Golf,Sauna,Frugal
33,Tyler Robinson,bnguyen@example.net,"beautiful disappointing reading reviews hotel 1929 online boyfriend prepared small room, expected small room room lovingly decorated not able open suitcases spare storage area just deposit mobiles sunglasses.the bed big matress hard ac fully adjustable wishes, minutes reach nice little bars great food just corner famous maxwell hawker centre close, staff helpful nice free soft drinks provided room.so far good, arrival asked tiny musical clock room, soon corner small room designated bathroom meaning glass wall shower toilet, glass wall partly frosted just allow minimum sanitary privacy, no way block sounds time musical clock unfortunately breakfast joke, eggs came baked beans greasy bacon rubberlike potato wedges buffet consisted prepacked jam butter plus toast, advice future travellers better skip breakfast dig delicious noodle soup chinese restaurants corner.in conclusion admit hotel 1929 looks better feels, sure design awesome cool, staying hotel not great experience looking forward, better dinner stay someplace,  ",2024-05-23 03:02,Frank Neal,EMP880,50,255.906.7069x100,Positive,Sales,19,4,Inactive,$417,8,Non-Vegetarian,Deluxe,Swimming,Gym,Frugal
