Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
Ashley Stewart,amanda34@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",15-01-2024 10:46,Andrea Petersen,EMP761,29,2506289754,Positive,HR,21,5,Inactive,$457,8,Vegetarian,Suite,Swimming,Massage,Luxury
Sonya Ruiz,sarah73@example.com,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",10-06-2024 13:09,Karen Novak,EMP835,58,(298)986-4466x370,Neutral,HR,4,3,Active,$243,9,Vegetarian,Suite,Badminton,Gym,Frugal
Kimberly Camacho,michael85@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",20-05-2024 20:13,Whitney Rosario,EMP460,38,944-647-5928x971,Neutral,Finance,2,10,Inactive,$277,9,Non-Vegetarian,Standard,Golf,Sauna,Frugal
Erica Anderson,johnsonlaura@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",14-01-2024 12:58,Tanya Henderson,EMP945,57,573.361.9619x34680,Negative,Finance,15,7,Inactive,$243,7,Vegan,Deluxe,Badminton,Gym,Frugal
Anthony Wolfe,brianvincent@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",16-01-2024 15:06,Jamie Heath,EMP507,36,770-564-8729x75333,Negative,Finance,30,10,Active,$370,6,Vegan,Suite,Swimming,Sauna,Frugal
Suzanne Smith,paul73@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",24-01-2024 08:14,Shawn Jackson,EMP157,62,870.561.4088,Neutral,Support,3,9,Inactive,$149,4,Vegetarian,Suite,Table tennis,Sauna,Luxury
Heather Hernandez,paulaacosta@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",05-03-2024 05:56,Kelly Cochran,EMP968,21,2415988084,Neutral,Support,12,2,Active,$248,5,Non-Vegetarian,Suite,Swimming,Sauna,Frugal
David Jimenez,george02@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",14-09-2024 17:40,Patrick Campbell,EMP121,62,(533)628-0763,Positive,Finance,25,6,Active,$312,8,Vegan,Suite,Swimming,Sauna,Frugal
Gregory Swanson,kingmichaela@example.net,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",02-08-2024 15:51,Jennifer Rodriguez,EMP696,20,+1-619-737-3448x32118,Negative,Sales,21,10,Inactive,$180,2,Vegan,Deluxe,Golf,Gym,Luxury
Jennifer Guzman,jacksonmichelle@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",20-08-2024 14:02,Krista Byrd,EMP496,59,001-536-279-1163x62225,Negative,HR,3,5,Inactive,$128,1,Vegan,Deluxe,Badminton,Massage,Luxury
Patrick Guzman,iherman@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",24-07-2024 20:37,Bradley Hutchinson,EMP271,19,398.541.5162,Neutral,Engineering,23,7,Inactive,$465,2,Vegan,Standard,Table tennis,Gym,Luxury
Kristin Moss,kristyibarra@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",26-03-2024 18:48,Sarah Moran,EMP574,62,338-210-8012x25887,Negative,Sales,23,7,Inactive,$480,3,Non-Vegetarian,Deluxe,Swimming,Sauna,Luxury
Tamara Fowler,sgarcia@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",27-09-2024 08:31,Eric Mcdonald MD,EMP148,50,-6557,Positive,Engineering,10,1,Inactive,$451,5,Vegan,Suite,Swimming,Sauna,Frugal
Marc Morris,timothy37@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",09-08-2024 10:55,Gordon Martin,EMP428,44,(495)980-0540,Positive,Sales,30,9,Active,$104,8,Non-Vegetarian,Suite,Swimming,Massage,Luxury
William Taylor,linda57@example.com,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",09-09-2024 23:14,Melissa Mitchell,EMP499,31,(371)958-8024x88192,Neutral,Sales,26,9,Inactive,$344,9,Vegan,Deluxe,Table tennis,Gym,Frugal
Jason Mckee,jnelson@example.net,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",19-01-2024 10:44,Sarah Allen,EMP978,41,+1-564-206-3741x155,Positive,Support,7,2,Active,$269,8,Non-Vegetarian,Deluxe,Table tennis,Sauna,Luxury
Blake Johnson,zbrooks@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",29-10-2024 20:50,Michael Bennett,EMP916,21,881.998.1684x4381,Neutral,Support,7,8,Inactive,$200,4,Non-Vegetarian,Suite,Golf,Massage,Luxury
Katherine Carter,fnguyen@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",09-06-2024 06:11,Joshua Prince,EMP361,39,645.324.2445x71842,Negative,Support,22,3,Inactive,$298,5,Non-Vegetarian,Suite,Badminton,Gym,Luxury
Michael Holden,huynhbrandon@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",08-08-2024 18:35,Amanda Johnson,EMP005,45,+1-238-720-3052x881,Negative,HR,24,8,Inactive,$424,2,Vegan,Deluxe,Swimming,Gym,Luxury
Charles Murphy,cmartin@example.com,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",10-01-2024 01:57,Sarah Dunlap,EMP585,66,(559)392-4975,Positive,HR,2,1,Inactive,$400,4,Vegan,Suite,Golf,Sauna,Frugal
Tina Rice,tammycox@example.org,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",05-11-2024 06:25,William Jones,EMP793,37,410.288.2175x680,Negative,Support,18,9,Active,$369,4,Vegan,Standard,Badminton,Sauna,Frugal
Thomas Mathis,matthewwalsh@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",05-03-2024 13:48,James Taylor,EMP612,42,6447598818,Negative,Support,21,8,Active,$214,5,Vegetarian,Standard,Swimming,Sauna,Luxury
Aaron Nash,edward44@example.com,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",09-09-2024 08:24,Devin Sims,EMP400,61,6935983920,Positive,Support,15,0,Inactive,$138,9,Vegetarian,Standard,Badminton,Massage,Luxury
Marc Moore,rogerskathryn@example.com,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",14-08-2024 19:42,Donna Hall,EMP099,69,877.370.5090,Positive,HR,30,6,Active,$403,4,Vegetarian,Deluxe,Table tennis,Massage,Luxury
Taylor Richards,william90@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",15-11-2024 19:36,Joseph Smith MD,EMP119,68,001-587-705-9821x065,Negative,Sales,10,10,Inactive,$295,5,Vegetarian,Suite,Table tennis,Gym,Luxury
John Jones,penningtonloretta@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",28-06-2024 20:08,April Spencer,EMP448,66,001-690-257-5685,Positive,Sales,22,9,Inactive,$193,10,Vegan,Deluxe,Table tennis,Sauna,Luxury
Gail Carson,vcox@example.com,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",20-05-2024 16:30,Nicholas Vaughn,EMP976,44,920-764-9836,Neutral,Sales,21,0,Inactive,$139,10,Non-Vegetarian,Standard,Badminton,Sauna,Frugal
Dawn Duncan,scottmark@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",23-05-2024 07:38,Jennifer Beasley,EMP256,66,-1112,Neutral,Engineering,6,3,Inactive,$70,3,Vegan,Standard,Golf,Sauna,Frugal
Jonathan Allen,lauren93@example.org,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",16-02-2024 02:31,Sean Williams,EMP561,25,001-901-310-4940x9173,Positive,Finance,16,8,Active,$332,1,Non-Vegetarian,Deluxe,Swimming,Massage,Frugal
Bryan Li,brendanewton@example.org,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",01-09-2024 08:45,Ronnie Simmons,EMP045,68,936-656-7703,Negative,Support,24,0,Active,$372,4,Vegetarian,Standard,Swimming,Sauna,Luxury
April Kelly,rdudley@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",07-12-2024 12:40,Alisha Lee,EMP808,28,-5357,Positive,HR,5,10,Active,$354,10,Vegan,Suite,Badminton,Sauna,Frugal
David Thomas,garymyers@example.com,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",20-09-2024 22:47,Tanner Anderson,EMP049,35,837.433.1661,Negative,Engineering,14,9,Active,$453,4,Vegetarian,Suite,Golf,Massage,Frugal
Nathan House,jesus84@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",19-11-2024 22:45,Nicholas Meadows,EMP121,43,889-265-3604x106,Positive,HR,22,6,Inactive,$117,10,Vegan,Suite,Golf,Massage,Luxury
Joseph Bell,ynash@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",05-05-2024 16:32,William Farmer,EMP364,54,783-621-4177,Negative,Engineering,19,2,Inactive,$213,1,Non-Vegetarian,Suite,Badminton,Massage,Luxury
Donald Porter,hoffmantrevor@example.org,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",10-08-2024 07:28,Christian Vaughan,EMP356,36,+1-489-251-7500x905,Positive,Support,27,7,Active,$87,6,Vegetarian,Suite,Golf,Sauna,Luxury
Casey Jackson,vhouston@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",06-07-2024 05:47,Brett Jones,EMP017,22,001-522-820-2986,Neutral,Engineering,6,6,Active,$495,1,Vegetarian,Deluxe,Swimming,Gym,Frugal
Vincent Wilson,wardbrittney@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",31-03-2024 23:29,Brian Lopez,EMP105,45,(842)535-4175x17078,Negative,Support,10,5,Active,$303,7,Vegan,Deluxe,Golf,Sauna,Frugal
Mary Rowe,murraymartin@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",12-04-2024 13:11,Sonya Diaz,EMP414,65,4227730402,Negative,HR,29,4,Active,$225,2,Vegetarian,Standard,Swimming,Sauna,Luxury
Traci Greene,xlopez@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",14-10-2024 19:12,John Garcia,EMP801,34,926.857.7013,Neutral,Sales,16,8,Active,$314,4,Vegan,Standard,Table tennis,Massage,Luxury
Michael Martin,kimberlytran@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",29-06-2024 21:52,James Saunders,EMP266,34,814.971.0977x17145,Negative,Engineering,8,4,Inactive,$359,5,Vegetarian,Suite,Swimming,Massage,Frugal
Mrs. Michelle Cabrera,thomas97@example.net,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",20-05-2024 05:01,Jeffrey Clark,EMP749,41,659.363.8601,Negative,Sales,17,6,Active,$252,10,Vegetarian,Suite,Badminton,Sauna,Luxury
Michael Thompson,smithheather@example.org,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",19-01-2024 14:16,Andrew Curtis,EMP663,36,665.759.6026,Neutral,Finance,9,10,Active,$272,5,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
Laura Thompson,abigailramirez@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",13-10-2024 07:09,Anthony Terry,EMP084,45,334.512.5567,Negative,Support,26,4,Active,$75,10,Vegan,Deluxe,Swimming,Gym,Frugal
Matthew Mosley,matthew11@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",07-01-2024 13:10,Andrew White,EMP308,34,001-234-933-3769x3163,Negative,Sales,22,5,Inactive,$366,1,Vegan,Standard,Golf,Gym,Luxury
Justin Mason,wrodriguez@example.org,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",03-02-2024 02:05,Matthew Butler,EMP210,38,+1-382-403-2456x402,Negative,Engineering,13,1,Active,$499,6,Vegetarian,Standard,Golf,Sauna,Luxury
William Hogan,davidgarcia@example.net,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",03-02-2024 20:24,Timothy Gibson DVM,EMP007,43,8369789539,Negative,HR,4,5,Active,$227,1,Vegan,Suite,Golf,Sauna,Frugal
Christian Wilson,xrodriguez@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",09-04-2024 12:00,Heidi Dixon,EMP745,57,-8221,Positive,Sales,23,9,Active,$217,7,Vegetarian,Standard,Badminton,Sauna,Luxury
David Taylor,calvinmartinez@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",13-02-2024 15:54,Kayla Allen,EMP457,62,382-281-5511x68333,Positive,Finance,30,10,Active,$264,8,Vegetarian,Standard,Golf,Sauna,Frugal
Sarah Calhoun,contrerascathy@example.net,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",17-05-2024 13:27,Carly Klein,EMP947,21,318-456-9394x2281,Positive,HR,28,6,Active,$491,2,Vegetarian,Standard,Table tennis,Sauna,Frugal
Michael Reid,kelly19@example.org,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",15-12-2024 17:03,Raymond Vega,EMP285,36,001-367-387-5285x652,Neutral,Finance,5,10,Active,$344,8,Vegan,Deluxe,Swimming,Gym,Luxury
Susan Vasquez,derekkramer@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",16-09-2024 16:03,Stephanie Bautista,EMP057,34,-7524,Negative,HR,11,2,Inactive,$201,6,Vegan,Standard,Swimming,Massage,Frugal
Lawrence Ryan,xbryant@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",01-07-2024 12:48,John Stewart,EMP291,63,964-336-3579x91903,Neutral,Sales,28,4,Active,$188,3,Non-Vegetarian,Suite,Table tennis,Sauna,Luxury
Corey Fitzpatrick,kelsey36@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",12-01-2024 12:35,Tiffany Williams,EMP947,39,287-357-9817x972,Neutral,Engineering,27,5,Active,$66,7,Non-Vegetarian,Deluxe,Badminton,Sauna,Luxury
Steven Benson,callahanmichael@example.net,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",23-10-2024 18:16,Kyle Kline,EMP654,28,(359)744-1280,Positive,HR,2,4,Active,$218,10,Vegetarian,Suite,Badminton,Massage,Luxury
Kristin Henry,waltoneric@example.org,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",16-02-2024 16:09,Deborah Greene,EMP992,42,(909)591-0208x733,Positive,Sales,11,5,Active,$435,4,Vegetarian,Deluxe,Badminton,Gym,Luxury
Veronica Alexander,pcoleman@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",27-03-2024 19:58,Melissa Gonzales,EMP974,43,619.340.4179x16964,Positive,Sales,13,3,Active,$235,1,Vegan,Standard,Badminton,Gym,Luxury
Mary Graham,cindyrogers@example.net,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",27-11-2024 16:33,Terrance Williams,EMP408,22,809.366.0858x84694,Negative,Support,24,8,Active,$485,6,Non-Vegetarian,Standard,Table tennis,Sauna,Frugal
Lauren Haney,sandra92@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",20-11-2024 04:48,Bradley Gardner,EMP016,20,+1-268-324-0932x271,Neutral,Engineering,12,9,Active,$454,10,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
Craig Griffith,martincalvin@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",10-10-2024 10:55,Kristen Miller,EMP538,37,4614637821,Positive,Sales,24,4,Inactive,$112,5,Vegetarian,Deluxe,Table tennis,Massage,Frugal
Marc Jenkins,joshuameyer@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",07-07-2024 23:50,Shannon Davis,EMP587,31,(368)946-1804x76989,Positive,HR,15,3,Active,$98,2,Vegetarian,Deluxe,Swimming,Sauna,Frugal
Jill Harris,tuckerrobert@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",30-10-2024 12:24,Nicole Mccarty,EMP364,66,+1-753-437-3332x386,Neutral,Finance,23,6,Active,$249,5,Non-Vegetarian,Suite,Golf,Sauna,Luxury
Jerry Taylor,kcooper@example.net,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",12-09-2024 08:23,Ronald Johnson,EMP420,20,224-433-1811x7504,Positive,Sales,1,7,Inactive,$225,1,Vegan,Suite,Badminton,Sauna,Frugal
Jane Morales,aliciamiller@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",16-11-2024 10:05,Jennifer Taylor,EMP732,62,6683116779,Positive,Support,15,10,Active,$228,6,Vegetarian,Standard,Badminton,Sauna,Luxury
Sarah Andrews,kevin94@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",14-08-2024 06:52,Jose Carpenter,EMP102,18,001-744-782-9731x394,Negative,Sales,6,1,Inactive,$407,2,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
Tanya Navarro,edwardsronald@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",20-01-2024 07:58,Elizabeth Valdez,EMP017,46,665.986.2867x582,Positive,Engineering,25,9,Active,$389,3,Vegan,Suite,Badminton,Gym,Luxury
Maria Carr,acostakathleen@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",12-02-2024 12:04,Robert Holt,EMP076,56,838.956.4190,Neutral,Sales,21,5,Inactive,$403,8,Vegetarian,Standard,Badminton,Gym,Luxury
Sara Stout,mendozajennifer@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",03-04-2024 07:37,Felicia Johnson,EMP638,47,580-205-1234,Negative,Sales,30,8,Active,$499,5,Vegan,Suite,Badminton,Sauna,Frugal
Erica Combs,tammy51@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",12-04-2024 12:38,Karen Garcia,EMP473,56,608.356.7052,Negative,Support,23,8,Inactive,$51,10,Vegetarian,Standard,Table tennis,Sauna,Frugal
Lawrence Hoover,ruth10@example.net,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",17-05-2024 17:55,Cameron Davis,EMP701,36,774-440-6753x85036,Positive,Support,28,4,Active,$223,7,Vegan,Deluxe,Swimming,Gym,Luxury
James Miller,alicia06@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",20-08-2024 10:39,Susan Walker,EMP771,49,(536)860-7787x0297,Neutral,Engineering,20,1,Inactive,$464,8,Non-Vegetarian,Deluxe,Swimming,Massage,Frugal
Stephen Ware,icooper@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",06-10-2024 02:01,Andrea Perez,EMP732,34,6617831618,Neutral,Finance,28,10,Active,$365,2,Vegan,Suite,Golf,Gym,Frugal
Jill Dixon,zwaters@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",31-01-2024 05:14,Gregory Wright,EMP112,41,(345)405-8897,Negative,Finance,14,7,Inactive,$431,9,Non-Vegetarian,Standard,Golf,Gym,Luxury
Ronald Lynch,santananicole@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",24-10-2024 21:55,Karen Harris,EMP993,37,801-349-6305,Neutral,Finance,13,6,Inactive,$299,9,Vegan,Deluxe,Golf,Massage,Frugal
Sharon Sims,nwilson@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",17-09-2024 16:58,Vanessa Rodriguez,EMP922,53,537.717.0454x3358,Negative,HR,23,10,Inactive,$142,6,Vegan,Deluxe,Table tennis,Gym,Luxury
Roy James,alexandriapeters@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",05-04-2024 14:32,Sophia Allen,EMP438,48,+1-407-308-0430x319,Negative,Finance,24,4,Active,$490,1,Vegetarian,Suite,Badminton,Sauna,Luxury
Frank Schneider,jeffreywatson@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",08-03-2024 04:38,Patricia Patterson,EMP274,60,001-426-722-7416x6593,Negative,Support,17,10,Active,$119,7,Vegetarian,Standard,Table tennis,Gym,Frugal
Jerry Baker,rramirez@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",14-01-2024 00:22,Timothy Hernandez,EMP656,40,(600)368-8773x421,Positive,Finance,16,1,Active,$58,2,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
Gina Sullivan,johnny10@example.net,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",18-11-2024 06:38,Robin Hanson,EMP818,67,-7921,Positive,Support,18,1,Active,$474,1,Non-Vegetarian,Standard,Table tennis,Sauna,Luxury
